name,region,variable,value
Kuwait,Middle East,maternal_mortality,8
Kuwait,Middle East,infant_mortality,7
Kuwait,Middle East,life_expectancy,79.6
United Kingdom,Europe,maternal_mortality,8
United Kingdom,Europe,infant_mortality,3.7
United Kingdom,Europe,life_expectancy,82.2
Finland,Europe,maternal_mortality,8
Finland,Europe,infant_mortality,1.9
Finland,Europe,life_expectancy,82.2
Malta,Europe,maternal_mortality,8
Malta,Europe,infant_mortality,4.6
Malta,Europe,life_expectancy,83.6
San Marino,Europe,maternal_mortality,8
San Marino,Europe,infant_mortality,6.1
San Marino,Europe,life_expectancy,84.2
France,Europe,maternal_mortality,7
France,Europe,infant_mortality,3.1
France,Europe,life_expectancy,82.6
Albania,Europe,maternal_mortality,7
Albania,Europe,infant_mortality,10.8
Albania,Europe,life_expectancy,79.9
New Zealand,Australia and Oceania,maternal_mortality,7
New Zealand,Australia and Oceania,infant_mortality,3.3
New Zealand,Australia and Oceania,life_expectancy,82.9
Saudi Arabia,Middle East,maternal_mortality,7
Saudi Arabia,Middle East,infant_mortality,11.4
Saudi Arabia,Middle East,life_expectancy,77.2
Italy,Europe,maternal_mortality,6
Italy,Europe,infant_mortality,3
Italy,Europe,life_expectancy,83
Bosnia and Herzegovina,Europe,maternal_mortality,6
Bosnia and Herzegovina,Europe,infant_mortality,3.8
Bosnia and Herzegovina,Europe,life_expectancy,78.5
Montenegro,Europe,maternal_mortality,6
Montenegro,Europe,infant_mortality,3.1
Montenegro,Europe,life_expectancy,78.2
Austria,Europe,maternal_mortality,6
Austria,Europe,infant_mortality,3.2
Austria,Europe,life_expectancy,82.7
Bulgaria,Europe,maternal_mortality,6
Bulgaria,Europe,infant_mortality,7.5
Bulgaria,Europe,life_expectancy,76.1
Turkmenistan,Central Asia,maternal_mortality,5
Turkmenistan,Central Asia,infant_mortality,35
Turkmenistan,Central Asia,life_expectancy,72.4
Estonia,Europe,maternal_mortality,5
Estonia,Europe,infant_mortality,2
Estonia,Europe,life_expectancy,78.4
Greece,Europe,maternal_mortality,5
Greece,Europe,infant_mortality,3.4
Greece,Europe,life_expectancy,81.9
Switzerland,Europe,maternal_mortality,5
Switzerland,Europe,infant_mortality,3
Switzerland,Europe,life_expectancy,83.9
Monaco,Europe,maternal_mortality,5
Monaco,Europe,infant_mortality,1.7
Monaco,Europe,life_expectancy,89.8
Ireland,Europe,maternal_mortality,4
Ireland,Europe,infant_mortality,3.2
Ireland,Europe,life_expectancy,82
Qatar,Middle East,maternal_mortality,4
Qatar,Middle East,infant_mortality,6.2
Qatar,Middle East,life_expectancy,80.3
Netherlands,Europe,maternal_mortality,4
Netherlands,Europe,infant_mortality,3.6
Netherlands,Europe,life_expectancy,81.9
Belgium,Europe,maternal_mortality,4
Belgium,Europe,infant_mortality,3
Belgium,Europe,life_expectancy,82.3
Denmark,Europe,maternal_mortality,4
Denmark,Europe,infant_mortality,3.1
Denmark,Europe,life_expectancy,82.1
"Korea, South",East and Southeast Asia,maternal_mortality,4
"Korea, South",East and Southeast Asia,infant_mortality,2.2
"Korea, South",East and Southeast Asia,life_expectancy,83.4
Sweden,Europe,maternal_mortality,4
Sweden,Europe,infant_mortality,2.2
Sweden,Europe,life_expectancy,82.9
Slovakia,Europe,maternal_mortality,4
Slovakia,Europe,infant_mortality,5
Slovakia,Europe,life_expectancy,77.2
Germany,Europe,maternal_mortality,4
Germany,Europe,infant_mortality,3
Germany,Europe,life_expectancy,81.9
Japan,East and Southeast Asia,maternal_mortality,3
Japan,East and Southeast Asia,infant_mortality,1.8
Japan,East and Southeast Asia,life_expectancy,85.2
Spain,Europe,maternal_mortality,3
Spain,Europe,infant_mortality,2.4
Spain,Europe,life_expectancy,83
North Macedonia,Europe,maternal_mortality,3
North Macedonia,Europe,infant_mortality,6.8
North Macedonia,Europe,life_expectancy,77.3
Iceland,Europe,maternal_mortality,3
Iceland,Europe,infant_mortality,1.6
Iceland,Europe,life_expectancy,84
Czechia,Europe,maternal_mortality,3
Czechia,Europe,infant_mortality,2.5
Czechia,Europe,life_expectancy,78.6
Croatia,Europe,maternal_mortality,3
Croatia,Europe,infant_mortality,3.4
Croatia,Europe,life_expectancy,77.7
United Arab Emirates,Middle East,maternal_mortality,3
United Arab Emirates,Middle East,infant_mortality,4.9
United Arab Emirates,Middle East,life_expectancy,79.9
Slovenia,Europe,maternal_mortality,3
Slovenia,Europe,infant_mortality,1.8
Slovenia,Europe,life_expectancy,82.2
Australia,Australia and Oceania,maternal_mortality,2
Australia,Australia and Oceania,infant_mortality,3
Australia,Australia and Oceania,life_expectancy,83.5
Israel,Middle East,maternal_mortality,2
Israel,Middle East,infant_mortality,2.6
Israel,Middle East,life_expectancy,83.1
Poland,Europe,maternal_mortality,2
Poland,Europe,infant_mortality,4.6
Poland,Europe,life_expectancy,76.7
Belarus,Europe,maternal_mortality,1
Belarus,Europe,infant_mortality,2.1
Belarus,Europe,life_expectancy,74.7
Norway,Europe,maternal_mortality,1
Norway,Europe,infant_mortality,1.8
Norway,Europe,life_expectancy,82.9
